iter	Logloss
0	0.6653007059
1	0.6488130107
2	0.6262623034
3	0.6036249454
4	0.5666925724
5	0.5551659853
6	0.5397650698
7	0.5269425252
8	0.5172989852
9	0.5031491595
10	0.4889616501
11	0.4756970153
12	0.4678667715
13	0.4497335328
14	0.4368786652
15	0.4221982987
16	0.4155185195
17	0.4056224699
18	0.3940105724
19	0.3811217786
20	0.3738776256
21	0.3641850554
22	0.3589614906
23	0.3471991171
24	0.3415287125
25	0.3370593724
26	0.3302926595
27	0.3233401245
28	0.3138123546
29	0.3080130769
30	0.3018986188
31	0.2968744334
32	0.2907156081
33	0.2824003861
34	0.2799072641
35	0.2730198335
36	0.2698644111
37	0.2629370162
38	0.2561983749
39	0.2501697444
40	0.2414030939
41	0.2366403621
42	0.2326663242
43	0.2293243206
44	0.2269558866
45	0.2253937274
46	0.221827901
47	0.2153665648
48	0.2106257337
49	0.2063279181
50	0.2030684839
51	0.1999950989
52	0.1979617709
53	0.1948984183
54	0.1908839331
55	0.188227731
56	0.183673469
57	0.180912879
58	0.1756730465
