iter	Passed	Remaining
0	57	56985
1	57	28611
2	57	19156
3	57	14432
4	58	11596
5	59	9815
6	59	8447
7	59	7422
8	60	6623
9	60	5984
10	60	5461
11	61	5030
12	61	4658
13	61	4342
14	61	4068
15	62	3827
16	62	3617
17	62	3427
18	63	3258
19	63	3106
20	63	2969
21	63	2843
22	64	2723
23	64	2619
24	64	2523
25	65	2444
26	65	2362
27	65	2285
28	66	2213
29	66	2146
30	66	2083
31	66	2025
32	67	1971
33	67	1929
34	68	1880
35	68	1833
36	68	1789
37	69	1746
38	69	1707
39	69	1668
40	69	1633
41	70	1600
42	70	1567
43	70	1535
44	70	1505
45	71	1477
46	71	1450
47	71	1424
48	72	1398
49	72	1374
50	72	1350
51	72	1328
52	73	1306
53	73	1286
54	73	1266
55	73	1247
56	74	1228
57	74	1210
58	74	1192
